"com-id";"Nom";"Département";"Pays"
1;"Douai";"Nord";"France"
2;"Soissons";"Aisne";"France"
3;"Marchiennes";"Nord";"France"
4;"Orchies";"Nord";"France"
5;"Anvers";;"Belgique"
6;"Liège";;"Belgique"
7;"York";;"Royaume-Uni"
8;"Louvain";;"Belgique"
9;"Arras";"Pas-de-Calais";"France"
10;"Lille";"Nord";"France"
11;"Morbecque";"Nord";"France"
12;"Aubers";"Nord";"France"
13;"Carvin";"Pas-de-Calais";"France"
14;"Fontenay-sous-Bois";"Val-de-Marne";"France"
15;"Paris";"Paris";"France"
16;"Hamblain-les-Prés";"Pas-de-Calais";"France"
17;"Séricourt";"Pas-de-Calais";"France"
18;"Poitiers";"Vienne";"France"
19;"Corbehem";"Pas-de-Calais";"France"
20;"Marquise";"Pas-de-Calais";"France"
21;"Lourdes";"Hautes-Pyrénées";"France"
22;"Somain";"Nord";"France"
23;"Sin-le-Noble";"Nord";"France"
24;"Neuilly";"Hauts-de-Seine";"France"
25;"Pointe-à-Pitre";"Guadeloupe";"France"
26;"Cuincy";"Nord";"France"
27;"La Bassée";"Nord";"France"
28;"Lewarde";"Nord";"France"
29;"Frières-Faillouël";"Aisne";"France"
30;"Fontaine-Saint-Lucien";"Oise";"France"
31;"Paris";"Paris";"France"
32;"Tourcoing";"Nord";"France"
33;"Courtrai";;"Belgique"
34;"Hesdin";"Pas-de-Calais";"France"
35;"Flers-en-Escrebieux";"Nord";"France"
36;"Roubaix";"Nord";"France"
37;"Raismes";"Nord";"France"
38;"Valenciennes";"Nord";"France"
39;"Courbevoie";"Hauts-de-Seine";"France"
40;"Templeuve";"Nord";"France"
41;"Hazebrouck";"Nord";"France"
42;"Mirecourt";"Vosges";"France"
43;"Lallaing";"Nord";"France"
44;"Loon";"Nord";"France"
45;"Lesse";;"Belgique"
46;"Montembœuf";"Charente";"France"
47;"Waziers";"Nord";"France"
48;"Marconelle";"Pas-de-Calais";"France"
49;"Cagnicourt";"Pas-de-Calais";"France"
50;"Aniche";"Nord";"France"
51;"Saint-Omer";"Pas-de-Calais";"France"
52;"Saint-Maur-des-Fossés";"Val-de-Marne";"France"
53;"Hondschoote";"Nord";"France"
54;"Sancerre";"Cher";"France"
55;"La Madeleine";"Nord";"France"
56;"Mons-en-Baroeul";"Nord";"France"
57;"Huby-Saint-Leu";"Pas-de-Calais";"France"
58;"La Nouvelle-Orléans";;"États-Unis"
59;"Nice";"Alpes-Maritimes";"France"
